sira,ad,tip,boyut_byte,parametre_sayisi,tetikleyici_sayisi,tag_id,firing_triggers
1,hype - Story Menu MS (parametreli),html,25248,2,1,136,2147479553
2,hype - Story Menu DS (parametreli),html,22454,2,1,133,2147479553
3,Hype Utils,html,19660,2,1,4,2147479553
4,Ürün Yerleştirme - Activation Event,html,17030,2,1,353,351
5,Anket Kurguları V1,html,10532,2,1,178,177
6,hype - Header Banner DS,html,6820,2,1,129,2147479553
7,Ürün Detay Sticky Button - Desktop,html,6450,2,1,323,27
8,Toplam X TL Kardasınız - Desktop (Parametreli),html,5574,2,1,328,282
9,hype - Header Icons MS (parametreli),html,5062,2,1,135,2147479553
10,Hata Entegrasyonu,html,4664,2,6,159,"153, 152, 154, 155, 156, 158"
11,hype - Header Banner MS,html,4610,2,1,132,2147479553
12,hypeEE - Checkout Steps,html,4465,2,2,11,"2147479553, 3"
13,hype - Marka Kategori MS (Parametreli),html,4464,2,1,143,2147479553
14,Toplam X TL Kardasınız - Mobile,html,4339,2,1,325,282
15,Braun Yedek Parçaların Ana Ürünlere Linklenmesi,html,4296,2,1,336,27
16,hype - Marka Kategori DS (parametreli),html,4227,2,1,142,2147479553
17,Ürün Detay Sticky Button - Mobile,html,4026,2,1,310,27
18,Micro Funnel,html,3697,2,5,157,"152, 153, 154, 155, 156"
19,hypeEE - Add to Cart & Remove from Cart,html,3666,2,1,7,2147479553
